implementation,compile_size,compile_time,run_time,num_allocations,bytes_allocated
epee,376791,10.960000,4010.770000,4000367,524407227
nlohmann,118827,3.120000,4122.610000,8800367,421407214
rapidjson,10881,1.320000,961.692000,1800369,13339207422
json_dto,59809,1.450000,967.808000,1700369,13340607422
